year,date,survey,horate,horate_low,horate_high
2005,2005-12-01,ACS,0.6689942319791059,0.6663558093299635,0.6716326546282482
2006,2006-12-01,ACS,0.6727130685231323,0.6707557482837667,0.6746703887624979
2007,2007-12-01,ACS,0.6719742249853813,0.6699521561951591,0.6739962937756033
2008,2008-12-01,ACS,0.6664205776043534,0.6644392834676593,0.6684018717410474
2009,2009-12-01,ACS,0.6587351530563472,0.6568192119807109,0.6606510941319835
2010,2010-12-01,ACS,0.6535311055580295,0.6516449585025564,0.6554172526135026
2011,2011-12-01,ACS,0.64582416691288,0.643820196627192,0.647828137198568
2012,2012-12-01,ACS,0.6391269293643831,0.6373625177783753,0.6408913409503909
2013,2013-12-01,ACS,0.6349918742230108,0.6331613719520404,0.6368223764939813
2014,2014-12-01,ACS,0.6310110572176001,0.62915299765195,0.6328691167832502
2015,2015-12-01,ACS,0.6302987481838197,0.6283679354021399,0.6322295609654994
2016,2016-12-01,ACS,0.6311839809274882,0.6292658261628916,0.6331021356920846
2017,2017-12-01,ACS,0.6386991349811563,0.6366692559223456,0.640729014039967
2018,2018-12-01,ACS,0.6394690495027245,0.6375271744989186,0.6414109245065305
