year,date,survey,race,horate,horate_low,horate_high
2010,2010-12-01,ACS,black,0.44186996651451993,0.4390205999319285,0.44471933309711137
2011,2011-12-01,ACS,black,0.42537979652710284,0.4228594438286018,0.42790014922560393
2012,2012-12-01,ACS,black,0.42537979652710284,0.4228594438286018,0.42790014922560393
2013,2013-12-01,ACS,black,0.4191523824720111,0.4162835392720541,0.42202122567196815
2014,2014-12-01,ACS,black,0.41173472890073537,0.409234960509338,0.4142344972921327
2015,2015-12-01,ACS,black,0.4090907336016472,0.4059651695681915,0.4122162976351029
2016,2016-12-01,ACS,black,0.4073838741093854,0.40454771302134057,0.4102200351974302
2017,2017-12-01,ACS,black,0.4139512017666975,0.4110452644600246,0.4168571390733703
2018,2018-12-01,ACS,black,0.41445872191606614,0.41166649003815176,0.4172509537939805
2010,2010-01-01,CPS,black,0.456,0.446,0.466
2010,2010-04-01,CPS,black,0.462,0.452,0.47200000000000003
2010,2010-07-01,CPS,black,0.45,0.44,0.46
2010,2010-10-01,CPS,black,0.449,0.439,0.459
2011,2011-01-01,CPS,black,0.44799999999999995,0.43799999999999994,0.45799999999999996
2011,2011-04-01,CPS,black,0.442,0.433,0.451
2011,2011-07-01,CPS,black,0.456,0.446,0.466
2011,2011-10-01,CPS,black,0.451,0.442,0.46
2012,2012-01-01,CPS,black,0.431,0.422,0.44
2012,2012-04-01,CPS,black,0.43799999999999994,0.42899999999999994,0.44699999999999995
2012,2012-07-01,CPS,black,0.441,0.432,0.45
2012,2012-10-01,CPS,black,0.445,0.436,0.454
2013,2013-01-01,CPS,black,0.431,0.422,0.44
2013,2013-04-01,CPS,black,0.429,0.42,0.438
2013,2013-07-01,CPS,black,0.431,0.422,0.44
2013,2013-10-01,CPS,black,0.43200000000000005,0.42300000000000004,0.44100000000000006
2014,2014-01-01,CPS,black,0.433,0.424,0.442
2014,2014-04-01,CPS,black,0.435,0.426,0.444
2014,2014-07-01,CPS,black,0.429,0.42,0.438
2014,2014-10-01,CPS,black,0.42100000000000004,0.41200000000000003,0.43000000000000005
2015,2015-01-01,CPS,black,0.419,0.41,0.428
2015,2015-04-01,CPS,black,0.43,0.421,0.439
2015,2015-07-01,CPS,black,0.424,0.415,0.433
2015,2015-10-01,CPS,black,0.419,0.41,0.428
2016,2016-01-01,CPS,black,0.415,0.40599999999999997,0.424
2016,2016-04-01,CPS,black,0.41700000000000004,0.40800000000000003,0.42600000000000005
2016,2016-07-01,CPS,black,0.413,0.40399999999999997,0.422
2016,2016-10-01,CPS,black,0.41700000000000004,0.40800000000000003,0.42600000000000005
2017,2017-01-01,CPS,black,0.42700000000000005,0.41800000000000004,0.43600000000000005
2017,2017-04-01,CPS,black,0.423,0.414,0.432
2017,2017-07-01,CPS,black,0.42,0.411,0.429
2017,2017-10-01,CPS,black,0.42100000000000004,0.41200000000000003,0.43000000000000005
2018,2018-01-01,CPS,black,0.42200000000000004,0.41300000000000003,0.43100000000000005
2018,2018-04-01,CPS,black,0.41600000000000004,0.40700000000000003,0.42500000000000004
2018,2018-07-01,CPS,black,0.41700000000000004,0.40800000000000003,0.42600000000000005
2018,2018-10-01,CPS,black,0.429,0.42,0.438
2019,2019-01-01,CPS,black,0.41100000000000003,0.402,0.42000000000000004
2019,2019-04-01,CPS,black,0.406,0.397,0.41500000000000004
2019,2019-07-01,CPS,black,0.42700000000000005,0.41800000000000004,0.43600000000000005
