region,year,quarter,horate,period,date,moe,horate_low,horate_high,horate_yoy,horate_mom
United States,2000,Q1,0.6709999999999999,2000Q1,2000-01-01,0.003,0.6679999999999999,0.6739999999999999,NA,NA
United States,2000,Q2,0.672,2000Q2,2000-04-01,0.003,0.669,0.675,NA,0.001000000000000112
United States,2000,Q3,0.677,2000Q3,2000-07-01,0.003,0.674,0.68,NA,0.0050000000000000044
United States,2000,Q4,0.675,2000Q4,2000-10-01,0.003,0.672,0.678,NA,-0.0020000000000000018
United States,2001,Q1,0.675,2001Q1,2001-01-01,0.003,0.672,0.678,0.005961251862891315,0
United States,2001,Q2,0.677,2001Q2,2001-04-01,0.003,0.674,0.68,0.007440476190476275,0.0020000000000000018
United States,2001,Q3,0.6809999999999999,2001Q3,2001-07-01,0.003,0.6779999999999999,0.6839999999999999,0.00590841949778409,0.0039999999999998925
United States,2001,Q4,0.68,2001Q4,2001-10-01,0.003,0.677,0.683,0.007407407407407307,-9.999999999998899e-4
United States,2002,Q1,0.6779999999999999,2002Q1,2002-01-01,0.003,0.6749999999999999,0.6809999999999999,0.004444444444444251,-0.002000000000000113
United States,2002,Q2,0.6759999999999999,2002Q2,2002-04-01,0.003,0.6729999999999999,0.6789999999999999,-0.0014771048744463,-0.0020000000000000018
United States,2002,Q3,0.68,2002Q3,2002-07-01,0.003,0.677,0.683,-0.001468428781203901,0.004000000000000115
United States,2002,Q4,0.6829999999999999,2002Q4,2002-10-01,0.003,0.6799999999999999,0.6859999999999999,0.004411764705882115,0.0029999999999998916
United States,2003,Q1,0.68,2003Q1,2003-01-01,0.003,0.677,0.683,0.002949852507374784,-0.0029999999999998916
United States,2003,Q2,0.68,2003Q2,2003-04-01,0.003,0.677,0.683,0.005917159763313862,0
United States,2003,Q3,0.684,2003Q3,2003-07-01,0.003,0.681,0.687,0.00588235294117645,0.0040000000000000036
United States,2003,Q4,0.6859999999999999,2003Q4,2003-10-01,0.003,0.6829999999999999,0.689,0.004392386530014614,0.0019999999999998908
United States,2004,Q1,0.6859999999999999,2004Q1,2004-01-01,0.003,0.6829999999999999,0.689,0.008823529411764452,0
United States,2004,Q2,0.6920000000000001,2004Q2,2004-04-01,0.002,0.6900000000000001,0.6940000000000001,0.01764705882352935,0.006000000000000116
United States,2004,Q3,0.69,2004Q3,2004-07-01,0.002,0.688,0.692,0.008771929824561209,-0.002000000000000113
United States,2004,Q4,0.6920000000000001,2004Q4,2004-10-01,0.003,0.6890000000000001,0.6950000000000001,0.008746355685131268,0.002000000000000113
United States,2005,Q1,0.691,2005Q1,2005-01-01,0.005,0.6859999999999999,0.696,0.007288629737609353,-0.001000000000000112
United States,2005,Q2,0.6859999999999999,2005Q2,2005-04-01,0.005,0.6809999999999999,0.691,-0.008670520231214063,-0.0050000000000000044
United States,2005,Q3,0.688,2005Q3,2005-07-01,0.005,0.6829999999999999,0.693,-0.0028985507246377384,0.0020000000000000018
